prince               count=128
pirate               count=56
mère                 count=54
jour                 count=50
papa                 count=48
nuit                 count=48
sorcière             count=47
princesse            count=46
tête                 count=44
fois                 count=44
sirène               count=44
maman                count=42
dent                 count=40
voix                 count=36
maison               count=36
fille                count=35
capitaine            count=35
ours                 count=34
oeil                 count=34
mer                  count=34
porte                count=34
air                  count=33
homme                count=33
trésor               count=33
main                 count=32
bébé                 count=31
femme                count=31
lit                  count=30
château              count=30
bateau               count=29
coup                 count=29
roi                  count=29
enfant               count=27
peur                 count=27
monde                count=27
tour                 count=27
fée                  count=27
eau                  count=26
rouge                count=25
loup                 count=25
soeur                count=25
palais               count=25
chevalier            count=25
heure                count=24
matin                count=24
perroquet            count=23
sac                  count=23
chose                count=23
or                   count=23
monstre              count=22
chambre              count=21
pauvre               count=21
baguette             count=21
ami                  count=20
cheveu               count=20
garçon               count=20
fantôme              count=20
chemin               count=19
souris               count=19
pied                 count=19
lendemain            count=19
pièce                count=19
vague                count=18
soir                 count=18
idée                 count=18
sire                 count=18
voleur               count=18
côté                 count=17
terre                count=17
dessus               count=17
travail              count=17
arbre                count=17
bal                  count=17
fleur                count=16
grotte               count=16
forêt                count=16
moment               count=16
docteur              count=16
oiseau               count=15
bras                 count=15
père                 count=15
fenêtre              count=15
an                   count=15
chaperon             count=15
jardin               count=14
jambe                count=14
argent               count=14
histoire             count=13
vie                  count=13
joie                 count=13
rêve                 count=13
surprise             count=13
sol                  count=13
poisson              count=13
cadeau               count=13
grâce                count=13
table                count=13
épaule               count=13
personne             count=13
chance               count=13
serpillière          count=13
soleil               count=12
cri                  count=12
merci                count=12
dame                 count=12
faim                 count=12
haricot              count=12
ogre                 count=12
reine                count=12
barque               count=12
troll                count=12
ciel                 count=11
gâteau               count=11
bol                  count=11
cuisine              count=11
algue                count=11
bois                 count=11
nom                  count=11
robe                 count=11
pantoufle            count=11
carte                count=11
coffre               count=11
hôtel                count=11
doudou               count=10
aile                 count=10
nuage                count=10
déjeuner             count=10
salade               count=10
collier              count=10
journée              count=10
lait                 count=10
course               count=10
interieur            count=10
noisette             count=10
vache                count=10
coeur                count=10
carrosse             count=10
recherche            count=10
auberge              count=10
potion               count=10
perle                count=10
larme                count=9
ourse                count=9
bouillie             count=9
peine                count=9
poche                count=9
pois                 count=9
pont                 count=9
papier               count=9
baiser               count=9
île                  count=9
formule              count=9
rivière              count=8
voyage               count=8
animal               count=8
vitesse              count=8
envie                count=8
fête                 count=8
fromage              count=8
pain                 count=8
plage                count=8
coquillage           count=8
monsieur             count=8
trou                 count=8
étrange              count=8
fauteuil             count=8
marché               count=8
queue                count=8
marraine             count=8
cheval               count=8
minuit               count=8
train                count=8
dragon               count=8
casse                count=8
épée                 count=8
mme                  count=8
robot                count=8
bruit                count=7
couleur              count=7
camion               count=7
mélodie              count=7
musique              count=7
livre                count=7
pot                  count=7
bain                 count=7
dîner                count=7
bouche               count=7
soupe                count=7
chocolat             count=7
repas                count=7
route                count=7
force                count=7
répondit             count=7
papillon             count=7
garderie             count=7
câlin                count=7
sommeil              count=7
problème             count=7
ourson               count=7
bout                 count=7
retour               count=7
ventre               count=7
fond                 count=7
feu                  count=7
citrouille           count=7
année                count=7
épreuve              count=7
poupée               count=7
client               count=7
équipage             count=7
noël                 count=7
arrivée              count=7
soldat               count=7
blaireau             count=6
poule                count=6
chaton               count=6
feuille              count=6
vent                 count=6
dos                  count=6
herbe                count=6
suite                count=6
pomme                count=6
cou                  count=6
secret               count=6
morceau              count=6
chasseur             count=6
pays                 count=6
colère               count=6
tige                 count=6
oeuf                 count=6
silence              count=6
peau                 count=6
servante             count=6
semaine              count=6
compagnon            count=6
visage               count=6
mât                  count=6
marais               count=6
mort                 count=6
forme                count=6
rivage               count=6
sapin                count=6
drôle                count=6
pistolet             count=6
chapelle             count=6
patte                count=5
tonnerre             count=5
étoile               count=5
glace                count=5
surface              count=5
source               count=5
bord                 count=5
ballon               count=5
oreille              count=5
ensemble             count=5
frère                count=5
besoin               count=5
soirée               count=5
fils                 count=5
raison               count=5
vue                  count=5
compte               count=5
noix                 count=5
barrage              count=5
plaisir              count=5
bête                 count=5
conseil              count=5
habitude             count=5
taille               count=5
réponse              count=5
odeur                count=5
cuiller              count=5
escalier             count=5
édredon              count=5
mien                 count=5
prix                 count=5
corde                count=5
mari                 count=5
pointe               count=5
harpe                count=5
sanglot              count=5
habit                count=5
salle                count=5
part                 count=5
visite               count=5
lèvre                count=5
échelle              count=5
canon                count=5
cabine               count=5
amie                 count=5
vivant               count=5
entrée               count=5
parole               count=5
ombre                count=5
danse                count=5
ligne                count=5
cochon               count=5
poudre               count=5
pile                 count=5
roue                 count=5
licorne              count=4
chut                 count=4
hop                  count=4
boue                 count=4
attention            count=4
panier               count=4
secours              count=4
sieste               count=4
hochet               count=4
légume               count=4
chaussure            count=4
école                count=4
sable                count=4
copain               count=4
tourbillon           count=4
chat                 count=4
langue               count=4
place                count=4
museau               count=4
port                 count=4
milieu               count=4
horreur              count=4
pierre               count=4
endroit              count=4
famille              count=4
mousse               count=4
travers              count=4
pleur                count=4
aventure             count=4
graine               count=4
fortune              count=4
moitié               count=4
ceinture             count=4
pluie                count=4
lentille             count=4
étonnement           count=4
verre                count=4
veille               count=4
chanson              count=4
éclair               count=4
matelas              count=4
fin                  count=4
épave                count=4
lieu                 count=4
printemps            count=4
statue               count=4
créature             count=4
gens                 count=4
paix                 count=4
avis                 count=4
invité               count=4
neige                count=4
magie                count=4
ruban                count=4
coin                 count=4
traîneau             count=4
montagne             count=4
danseur              count=4
pêcheur              count=4
raiponce             count=4
tas                  count=4
télé                 count=4
poste                count=4
rosier               count=4
rossignol            count=4
balcon               count=4
mois                 count=4
lutin                count=4
banquet              count=4
juge                 count=4
chien                count=3
adulte               count=3
buisson              count=3
flamme               count=3
terreur              count=3
affaire              count=3
objet                count=3
courage              count=3
coucou               count=3
rue                  count=3
couche               count=3
oignon               count=3
coupe                count=3
beurre               count=3
regarde              count=3
assiette             count=3
fruit                count=3
accord               count=3
plume                count=3
doigt                count=3
lune                 count=3
maîtresse            count=3
chanteur             count=3
linge                count=3
allure               count=3
haleine              count=3
biscuit              count=3
village              count=3
galette              count=3
champignon           count=3
chevillette          count=3
dentelle             count=3
paire                count=3
ciseau               count=3
découverte           count=3
écria                count=3
curiosité            count=3
sursaut              count=3
