le                   count=2048
de                   count=1225
un                   count=881
être                 count=701
il                   count=619
et                   count=612
à                    count=579
son                  count=550
avoir                count=425
lui                  count=409
en                   count=342
se                   count=325
je                   count=299
tout                 count=255
dire                 count=242
que                  count=237
dans                 count=232
ce                   count=222
ne                   count=212
pas                  count=210
tu                   count=192
petit                count=179
mais                 count=176
mon                  count=175
faire                count=163
aller                count=161
pour                 count=160
au                   count=158
qui                  count=153
pouvoir              count=148
plus                 count=148
luire                count=130
prince               count=128
sur                  count=127
avec                 count=121
si                   count=115
nous                 count=105
t                    count=98
me                   count=95
bien                 count=94
voir                 count=91
quand                count=88
comme                count=85
grand                count=80
te                   count=79
y                    count=78
là                   count=78
jamais               count=65
moi                  count=64
vouloir              count=64
demander             count=63
ton                  count=60
mettre               count=60
arriver              count=60
par                  count=60
très                 count=58
aussi                count=57
pirate               count=56
alors                count=55
répondre             count=55
prendre              count=54
mère                 count=54
regarder             count=52
autre                count=52
deux                 count=52
on                   count=52
jour                 count=50
devoir               count=50
vous                 count=49
papa                 count=48
nuit                 count=48
écrier               count=48
sorcière             count=47
princesse            count=46
trop                 count=45
tête                 count=44
venir                count=44
fois                 count=44
trouver              count=44
sirène               count=44
vite                 count=43
passer               count=42
toi                  count=42
maman                count=42
manger               count=40
encore               count=40
celui                count=40
dent                 count=40
où                   count=38
ouvrir               count=38
rien                 count=37
entendre             count=37
vers                 count=37
voix                 count=36
maison               count=36
même                 count=36
devant               count=35
temps                count=35
fille                count=35
capitaine            count=35
ours                 count=34
oeil                 count=34
mer                  count=34
partir               count=34
toujours             count=34
porte                count=34
bon                  count=33
soudain              count=33
donner               count=33
air                  count=33
homme                count=33
trésor               count=33
sans                 count=32
demande              count=32
revenir              count=32
savoir               count=32
main                 count=32
bébé                 count=31
sou                  count=31
crier                count=31
après                count=31
femme                count=31
lit                  count=30
quelque              count=30
château              count=30
seul                 count=29
bateau               count=29
coup                 count=29
peu                  count=29
penser               count=29
pendant              count=29
roi                  count=29
avant                count=28
nouveau              count=28
vrai                 count=28
enfant               count=27
peur                 count=27
monde                count=27
tour                 count=27
attendre             count=27
trois                count=27
fée                  count=27
sortir               count=26
cela                 count=26
eau                  count=26
gros                 count=26
rouge                count=25
celer                count=25
sourire              count=25
entrer               count=25
loup                 count=25
soeur                count=25
palais               count=25
chevalier            count=25
heure                count=24
oh                   count=24
ici                  count=24
matin                count=24
non                  count=24
jeune                count=24
perroquet            count=23
exclamer             count=23
ci                   count=23
sac                  count=23
tomber               count=23
chose                count=23
apercevoir           count=23
or                   count=23
chez                 count=22
expliquer            count=22
cacher               count=22
commencer            count=22
monstre              count=22
rentrer              count=21
joli                 count=21
loin                 count=21
mal                  count=21
long                 count=21
quel                 count=21
aussitôt             count=21
chercher             count=21
chambre              count=21
réveiller            count=21
magique              count=21
vieux                count=21
pauvre               count=21
baguette             count=21
ami                  count=20
ajouter              count=20
devenir              count=20
enfin                count=20
aimer                count=20
cheveu               count=20
garçon               count=20
bel                  count=20
juste                count=20
fantôme              count=20
voler                count=19
derrière             count=19
notre                count=19
chemin               count=19
appeler              count=19
souris               count=19
jouer                count=19
aider                count=19
bientôt              count=19
pied                 count=19
porter               count=19
leur                 count=19
lendemain            count=19
chaque               count=19
sentir               count=19
pièce                count=19
dormir               count=18
endormir             count=18
lever                count=18
vague                count=18
soir                 count=18
idée                 count=18
battre               count=18
près                 count=18
vert                 count=18
sire                 count=18
voleur               count=18
falloir              count=17
côté                 count=17
terre                count=17
comment              count=17
énorme               count=17
dessus               count=17
plein                count=17
arrêter              count=17
premier              count=17
préparer             count=17
travail              count=17
arbre                count=17
essayer              count=17
frapper              count=17
tard                 count=17
bal                  count=17
coucher              count=16
fleur                count=16
grotte               count=16
forêt                count=16
fort                 count=16
maintenant           count=16
grimper              count=16
ou                   count=16
retrouver            count=16
donc                 count=16
oui                  count=16
monter               count=16
moment               count=16
rire                 count=16
apparaître           count=16
finir                count=16
jeter                count=16
géant                count=16
docteur              count=16
marin                count=16
oiseau               count=15
bras                 count=15
sûr                  count=15
suivre               count=15
montrer              count=15
étonner              count=15
saisir               count=15
père                 count=15
découvrir            count=15
fenêtre              count=15
rester               count=15
an                   count=15
parler               count=15
retourner            count=15
chaperon             count=15
rendre               count=15
courir               count=15
ceci                 count=15
raconter             count=14
autour               count=14
prêt                 count=14
glisser              count=14
aide                 count=14
jardin               count=14
vraiment             count=14
laisser              count=14
beau                 count=14
haut                 count=14
approcher            count=14
jambe                count=14
vivre                count=14
argent               count=14
histoire             count=13
vie                  count=13
déjà                 count=13
joie                 count=13
ah                   count=13
rêve                 count=13
surprise             count=13
sol                  count=13
poisson              count=13
cadeau               count=13
grâce                count=13
changer              count=13
décider              count=13
table                count=13
épaule               count=13
personne             count=13
dès                  count=13
asseoir              count=13
tant                 count=13
précipiter           count=13
chance               count=13
lorsque              count=13
déclarer             count=13
serpillière          count=13
soleil               count=12
perdre               count=12
cri                  count=12
joue                 count=12
merci                count=12
cueillir             count=12
beaucoup             count=12
votre                count=12
dame                 count=12
faim                 count=12
haricot              count=12
croire               count=12
reprendre            count=12
ogre                 count=12
reine                count=12
barque               count=12
troll                count=12
emmener              count=11
ciel                 count=11
meilleur             count=11
gâteau               count=11
bol                  count=11
cuisine              count=11
ravir                count=11
algue                count=11
revoir               count=11
bois                 count=11
offrir               count=11
mieux                count=11
nom                  count=11
robe                 count=11
pantoufle            count=11
carte                count=11
coffre               count=11
hôtel                count=11
continuer            count=10
doudou               count=10
gagner               count=10
disparaître          count=10
aile                 count=10
nuage                count=10
descendre            count=10
promettre            count=10
danser               count=10
déjeuner             count=10
salade               count=10
surtout              count=10
collier              count=10
tenir                count=10
journée              count=10
bouger               count=10
lait                 count=10
tellement            count=10
bas                  count=10
gentil               count=10
course               count=10
sauver               count=10
interieur            count=10
bondir               count=10
noisette             count=10
enfuir               count=10
vache                count=10
épouser              count=10
coeur                count=10
carrosse             count=10
recherche            count=10
gémir                count=10
pousser              count=10
auberge              count=10
couper               count=10
potion               count=10
perle                count=10
larme                count=9
plonger              count=9
nager                count=9
voilà                count=9
blanc                count=9
quoi                 count=9
heureux              count=9
avancer              count=9
enlever              count=9
oser                 count=9
apporter             count=9
tirer                count=9
doux                 count=9
depuis               count=9
tuer                 count=9
remplir              count=9
ourse                count=9
bouillie             count=9
ni                   count=9
peine                count=9
poche                count=9
chanter              count=9
supplier             count=9
pois                 count=9
pont                 count=9
papier               count=9
baiser               count=9
île                  count=9
élever               count=9
formule              count=9
laisse               count=8
gronder              count=8
rivière              count=8
marche               count=8
voyage               count=8
océan                count=8
animal               count=8
chaud                count=8
envoler              count=8
poser                count=8
vitesse              count=8
car                  count=8
garde                count=8
plaire               count=8
envie                count=8
fête                 count=8
inviter              count=8
fromage              count=8
sembler              count=8
montre               count=8
pain                 count=8
noir                 count=8
adorer               count=8
papi                 count=8
mauvais              count=8
plage                count=8
coquillage           count=8
pleurer              count=8
monsieur             count=8
oreiller             count=8
trou                 count=8
reste                count=8
étrange              count=8
fauteuil             count=8
marché               count=8
cher                 count=8
queue                count=8
sauter               count=8
furieux              count=8
longtemps            count=8
mourir               count=8
ordonner             count=8
réussir              count=8
toucher              count=8
cesser               count=8
presque              count=8
méchant              count=8
royaume              count=8
marraine             count=8
cheval               count=8
minuit               count=8
soupirer             count=8
train                count=8
dragon               count=8
pie                  count=8
casse                count=8
ricaner              count=8
épée                 count=8
mme                  count=8
robot                count=8
bruit                count=7
couleur              count=7
ennuyer              count=7
proposer             count=7
camion               count=7
mélodie              count=7
musique              count=7
rêver                count=7
remettre             count=7
donne                count=7
livre                count=7
pot                  count=7
bain                 count=7
amuser               count=7
dîner                count=7
bouche               count=7
soupe                count=7
chocolat             count=7
dont                 count=7
repas                count=7
route                count=7
marcher              count=7
contre               count=7
force                count=7
emporter             count=7
hors                 count=7
garder               count=7
répondit             count=7
espérer              count=7
doucement            count=7
habiter              count=7
papillon             count=7
garderie             count=7
câlin                count=7
sommeil              count=7
annoncer             count=7
problème             count=7
remarquer            count=7
ourson               count=7
bout                 count=7
assez                count=7
retour               count=7
connaître            count=7
admirer              count=7
ainsi                count=7
briller              count=7
surgir               count=7
écouter              count=7
ventre               count=7
avaler               count=7
hurler               count=7
attraper             count=7
dur                  count=7
fond                 count=7
accepter             count=7
dehors               count=7
feu                  count=7
citrouille           count=7
six                  count=7
aîné                 count=7
année                count=7
